"Pergunta","Resposta","Categoria"
"Oi","Oi, tudo bem?","Saudação"
"Olá","Olá, como vai você?","Saudação"
"E aí","E aí, prazer em te conhecer!","Saudação"
"Bom dia","Bom dia! Como está?","Saudação"
"Boa tarde","Boa tarde! Espero que esteja bem.","Saudação"
"Boa noite","Boa noite! Como estão as coisas?","Saudação"
"Como você está?","Estou bem, e você?","Saudação"
"Qual é o seu nome?","Meu nome é NOSTRADECIUS.","Saudação"
"Prazer em te conhecer","Prazer em te conhecer também!","Saudação"
"Até mais","Até mais, se cuida!","Despedida"
"Tchau","Tchau, tenha um ótimo dia!","Despedida"
"Valeu","De nada!","Gratidão"
"Muito obrigado","Não há de quê, fico feliz em ajudar!","Gratidão"
"Quem é você?","Eu sou o NUSTRADECIUS, um assistente de IA treinado para ajudar com informações e conversas.","Introdução"
"Qual é o nome completo de Vincent?","Vincent Pernarh","Pessoal"
"Qual é o objetivo profissional de Vincent?","Ele busca uma vaga como Analista de Dados, Engenheiro de Dados, Cientista de Dados ou em áreas relacionadas como Supply Chain e Machine Learning.","Profissional"
"Qual graduação Vincent está cursando atualmente?","Ele está concluindo Engenharia de Controle e Automação na UFMG.","Educação"
"Quando Vincent irá se formar?","A previsão de conclusão é em dezembro de 2024.","Educação"
"Qual foi a função de Vincent na DHL de março a maio de 2025?","Ele trabalhou como Cientista de Dados para a conta Stellantis.","Experiência"
"Qual foi sua principal conquista como Cientista de Dados?","Ele implementou a primeira solução de IA em sua área usando Python, LLaMA e Pinecone.","Experiência"
"Em quais linguagens de programação Vincent é avançado?","Ele tem habilidades avançadas em Python, C++ e R com RStudio.","Habilidades"
"Qual é o nível de proficiência de Vincent em Power BI?","Seu nível em Power BI é Avançado.","Habilidades"
"Com quais plataformas de nuvem ele tem experiência?","Ele tem experiência com GCP (BigQuery), Snowflake, AWS e Azure.","Habilidades"
"Qual é o nível de habilidade de Vincent com o Snowflake?","O nível dele em Snowflake é Avançado.","Habilidades"
"Qual foi a função de Vincent na Stellantis?","Ele foi estagiário em Supply Chain Management.","Experiência"
"Quais eram suas tarefas como estagiário na Stellantis?","Ele preparava relatórios, acompanhava importações, monitorava demanda e desenvolvia dashboards no Power BI.","Experiência"
"Quais idiomas Vincent fala?","Ele fala Inglês (Nativo), Português (Fluente), Francês (Básico) e Espanhol (Básico).","Idiomas"
"Vincent fez algum curso de análise de dados?","Sim, ele concluiu 'Do Básico ao Avançado em Análise de Dados' da Preditiva Analytics.","Certificação"
"Qual foi a função de Vincent na DHL de out de 2024 a fev de 2025?","Ele foi Analista de Processos na conta Stellantis.","Experiência"
"O que ele fazia como Analista de Processos?","Ele analisava a demanda dos fornecedores, gerenciava KPIs e preparava relatórios.","Experiência"
